
---------- Begin Simulation Statistics ----------
simSeconds                                   0.009254                       # Number of seconds simulated (Second)
system.cpu.branchPred.BTBHitRatio            0.995463                       # BTB Hit Ratio (Ratio)
system.cpu.branchPred.RASUsed                   64941                       # Number of times the RAS was used to get a target. (Count)
system.cpu.branchPred.RASIncorrect                  4                       # Number of incorrect RAS predictions. (Count)
system.cpu.branchPred.indirectLookups           22832                       # Number of indirect predictor lookups. (Count)
system.cpu.branchPred.indirectHits              21642                       # Number of indirect target hits. (Count)
system.cpu.branchPred.indirectMisses             1190                       # Number of indirect misses. (Count)
system.cpu.branchPred.indirectMispredicted          305                       # Number of mispredicted indirect branches. (Count)
system.cpu.commit.commitSquashedInsts         1091903                       # The number of squashed insts skipped by commit (Count)
system.cpu.commit.commitNonSpecStalls              18                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu.commit.branchMispredicts             12080                       # The number of times a branch was mispredicted (Count)
system.cpu.commit.numCommittedDist::samples     18277091                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::mean     3.848414                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::stdev     3.465137                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::0         4363908     23.88%     23.88% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::1         3644156     19.94%     43.81% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::2          797380      4.36%     48.18% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::3         1268357      6.94%     55.12% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::4          957196      5.24%     60.35% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::5           59312      0.32%     60.68% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::6           15480      0.08%     60.76% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::7          294805      1.61%     62.38% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::8         6876497     37.62%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu.commit.numCommittedDist::total     18277091                       # Number of insts commited each cycle (Count)
system.cpu.commit.instsCommitted             41762875                       # Number of instructions committed (Count)
system.cpu.commit.opsCommitted               70337822                       # Number of ops (including micro ops) committed (Count)
system.cpu.commit.memRefs                    23769692                       # Number of memory references committed (Count)
system.cpu.commit.loads                      19600390                       # Number of loads committed (Count)
system.cpu.commit.amos                              0                       # Number of atomic instructions committed (Count)
system.cpu.commit.membars                           0                       # Number of memory barriers committed (Count)
system.cpu.commit.branches                     589536                       # Number of branches committed (Count)
system.cpu.commit.vectorInstructions                0                       # Number of committed Vector instructions. (Count)
system.cpu.commit.floating                   31242447                       # Number of committed floating point instructions. (Count)
system.cpu.commit.integer                    51084165                       # Number of committed integer instructions. (Count)
system.cpu.commit.functionCalls                 64313                       # Number of function calls committed. (Count)
system.cpu.commit.committedInstType_0::No_OpClass        85809      0.12%      0.12% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntAlu     27193678     38.66%     38.78% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntMult      2469646      3.51%     42.29% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::IntDiv         1333      0.00%     42.30% # Class of committed instruction (Count)
system.cpu.commit.committedInstType_0::FloatAdd     12009702     17.07%     59.37% # Class of committed instruction (Count)
